https://www.nrel.gov/grid/solar-resource/spectra-wehrli.html
 	  nm	  W/sm/nm   W/sm

     199.5     0.005  5.498E-3
     200.5     0.007  1.253E-2
     201.5     0.007  1.971E-2
     202.5     0.008  2.758E-2
     203.5     0.009  3.629E-2
     204.5     0.009  4.575E-2
     205.5     0.010  5.531E-2
     206.5     0.010  6.549E-2
     207.5     0.011  7.696E-2
     208.5     0.015  9.152E-2
     209.5     0.024  1.158E-1
     210.5     0.028  1.433E-1
     211.5     0.034  1.771E-1
     212.5     0.030  2.073E-1
     213.5     0.032  2.391E-1
     214.5     0.041  2.801E-1
     215.5     0.037  3.170E-1
     216.5     0.034  3.512E-1
     217.5     0.036  3.873E-1
     218.5     0.045  4.322E-1
     219.5     0.048  4.799E-1
     220.5     0.048  5.280E-1
     221.5     0.039  5.673E-1
     222.5     0.051  6.179E-1
     223.5     0.066  6.838E-1
     224.5     0.058  7.417E-1
     225.5     0.054  7.956E-1
     226.5     0.041  8.366E-1
     227.5     0.041  8.774E-1
     228.5     0.054  9.314E-1
     229.5     0.048  9.792E-1
     230.5     0.056  1.036E+0
     231.5     0.050  1.085E+0
     232.5     0.055  1.140E+0
     233.5     0.046  1.186E+0
     234.5     0.039  1.226E+0
     235.5     0.057  1.282E+0
     236.5     0.049  1.332E+0
     237.5     0.053  1.385E+0
     238.5     0.042  1.427E+0
     239.5     0.046  1.473E+0
     240.5     0.043  1.516E+0
     241.5     0.052  1.569E+0
     242.5     0.072  1.641E+0
     243.5     0.065  1.707E+0
     244.5     0.062  1.769E+0
     245.5     0.051  1.820E+0
     246.5     0.051  1.872E+0
     247.5     0.057  1.929E+0
     248.5     0.045  1.974E+0
     249.5     0.058  2.033E+0
     250.5     0.059  2.092E+0
     251.5     0.047  2.138E+0
     252.5     0.044  2.182E+0
     253.5     0.055  2.238E+0
     254.5     0.061  2.299E+0
     255.5     0.089  2.387E+0
     256.5     0.107  2.494E+0
     257.5     0.129  2.623E+0
     258.5     0.134  2.758E+0 
     259.5     0.108  2.865E+0
     260.5     0.102  2.967E+0
     261.5     0.103  3.071E+0
     262.5     0.121  3.191E+0 
     263.5     0.175  3.367E+0
     264.5     0.274  3.641E+0
     265.5     0.280  3.921E+0
     266.5     0.260  4.181E+0
     267.5     0.270  4.451E+0
     268.5     0.260  4.711E+0
     269.5     0.252  4.964E+0
     270.5     0.293  5.257E+0
     271.5     0.232  5.489E+0
     272.5     0.215  5.704E+0
     273.5     0.204  5.908E+0
     274.5     0.137  6.045E+0
     275.5     0.200  6.245E+0
     276.5     0.258  6.503E+0
     277.5     0.240  6.744E+0
     278.5     0.166  6.910E+0
     279.5     0.089  6.999E+0
     280.5     0.112  7.111E+0
     281.5     0.231  7.342E+0
     282.5     0.307  7.649E+0
     283.5     0.330  7.979E+0
     284.5     0.244  8.223E+0
     285.5     0.141  8.364E+0
     286.5     0.320  8.684E+0
     287.5     0.371  9.055E+0
     288.5     0.307  9.362E+0
     289.5     0.456  9.817E+0
     290.5     0.623  1.044E+1
     291.5     0.600  1.104E+1
     292.5     0.545  1.159E+1
     293.5     0.545  1.213E+1
     294.5     0.509  1.264E+1
     295.5     0.548  1.319E+1
     296.5     0.492  1.368E+1
     297.5     0.531  1.421E+1
     298.5     0.413  1.462E+1
     299.5     0.485  1.511E+1
     300.5     0.403  1.551E+1
     301.5     0.445  1.596E+1
     302.5     0.484  1.644E+1
     303.5     0.631  1.707E+1
     304.5     0.610  1.768E+1
     305.5     0.580  1.826E+1
     306.5     0.575  1.884E+1
     307.5     0.645  1.948E+1
     308.5     0.613  2.010E+1
     309.5     0.484  2.034E+1
     310.0     0.495  2.054E+1
     310.4     0.507  2.074E+1
     310.8     0.588  2.097E+1
     311.2     0.707  2.126E+1
     311.6     0.747  2.156E+1
     312.0     0.707  2.184E+1
     312.4     0.644  2.210E+1
     312.8     0.663  2.236E+1
     313.2     0.710  2.265E+1
     313.6     0.691  2.292E+1
     314.0     0.689  2.320E+1
     314.4     0.722  2.349E+1
     314.8     0.673  2.375E+1
     315.2     0.695  2.403E+1
     315.6     0.765  2.434E+1
     316.0     0.675  2.461E+1
     316.4     0.569  2.484E+1
     316.8     0.623  2.509E+1
     317.2     0.749  2.539E+1
     317.6     0.830  2.572E+1
     318.0     0.813  2.604E+1
     318.4     0.673  2.631E+1
     318.8     0.642  2.657E+1
     319.2     0.768  2.688E+1
     319.6     0.759  2.718E+1
     320.0     0.712  2.746E+1
     320.4     0.778  2.778E+1
     320.8     0.844  2.811E+1
     321.2     0.847  2.845E+1
     321.6     0.736  2.875E+1
     322.0     0.695  2.902E+1
     322.4     0.773  2.933E+1
     322.8     0.758  2.964E+1 
     323.2     0.646  2.989E+1
     323.6     0.603  3.014E+1
     324.0     0.604  3.038E+1
     324.4     0.618  3.063E+1
     324.8     0.654  3.089E+1
     325.2     0.646  3.115E+1
     325.6     0.682  3.142E+1
     326.0     0.852  3.176E+1
     326.4     1.049  3.218E+1
     326.8     1.111  3.262E+1
     327.2     1.108  3.307E+1
     327.6     1.050  3.349E+1
     328.0     0.965  3.387E+1
     328.4     0.914  3.424E+1
     328.8     0.913  3.460E+1
     329.2     0.952  3.498E+1
     329.6     1.043  3.540E+1
     330.0     1.144  3.586E+1
     330.4     1.137  3.597E+1
     330.5     1.006  3.698E+1
     331.5     0.968  3.795E+1
     332.5     0.921  3.887E+1
     333.5     0.905  3.977E+1
     334.5     0.940  4.071E+1
     335.5     0.982  4.169E+1
     336.5     0.765  4.246E+1
     337.5     0.866  4.332E+1
     338.5     0.916  4.424E+1
     339.5     0.937  4.517E+1
     340.5     0.992  4.617E+1
     341.5     0.936  4.710E+1
     342.5     0.995  4.810E+1
     343.5     0.985  4.908E+1
     344.5     0.719  4.980E+1
     345.5     0.967  5.077E+1
     346.5     0.919  5.169E+1
     347.5     0.902  5.259E+1
     348.5     0.948  5.354E+1
     349.5     0.865  5.440E+1
     350.5     1.119  5.552E+1
     351.5     0.993  5.651E+1
     352.5     0.871  5.738E+1
     353.5     1.115  5.850E+1
     354.5     1.133  5.963E+1
     355.5     1.058  6.069E+1
     356.5     0.938  6.163E+1
     357.5     0.891  6.252E+1
     358.5     0.627  6.314E+1
     359.5     1.136  6.428E+1
     360.5     0.979  6.526E+1
     361.5     0.894  6.615E+1
     362.5     1.175  6.733E+1
     363.5     0.958  6.829E+1
     364.5     1.015  6.930E+1
     365.5     1.263  7.056E+1
     366.5     1.249  7.181E+1
     367.5     1.214  7.303E+1
     368.5     1.088  7.412E+1
     369.5     1.331  7.545E+1
     370.5     1.075  7.652E+1
     371.5     1.307  7.783E+1
     372.5     1.065  7.889E+1
     373.5     0.838  7.973E+1
     374.5     0.878  8.061E+1
     375.5     1.141  8.175E+1
     376.5     1.101  8.285E+1
     377.5     1.291  8.414E+1
     378.5     1.341  8.549E+1
     379.5     1.000  8.649E+1
     380.5     1.289  8.777E+1
     381.5     1.096  8.887E+1
     382.5     0.733  8.960E+1
     383.5     0.684  9.029E+1
     384.5     1.027  9.131E+1
     385.5     0.954  9.227E+1
     386.5     1.071  9.334E+1
     387.5     0.966  9.430E+1
     388.5     0.912  9.522E+1
     389.5     1.227  9.644E+1
     390.5     1.223  9.767E+1
     391.5     1.398  9.906E+1
     392.5     0.955  1.000E+2
     393.5     0.489  1.005E+2
     394.5     1.101  1.016E+2
     395.5     1.378  1.030E+2
     396.5     0.650  1.036E+2
     397.5     1.040  1.047E+2
     398.5     1.538  1.062E+2
     399.5     1.655  1.079E+2
     400.5     1.649  1.095E+2
     401.5     1.796  1.113E+2
     402.5     1.803  1.131E+2
     403.5     1.658  1.148E+2
     404.5     1.602  1.164E+2
     405.5     1.672  1.180E+2
     406.5     1.624  1.197E+2
     407.5     1.545  1.212E+2
     408.5     1.824  1.230E+2
     409.5     1.706  1.247E+2
     410.5     1.502  1.263E+2
     411.5     1.819  1.281E+2
     412.5     1.791  1.299E+2
     413.5     1.758  1.316E+2
     414.5     1.739  1.334E+2
     415.5     1.736  1.351E+2
     416.5     1.844  1.369E+2
     417.5     1.667  1.386E+2
     418.5     1.686  1.403E+2
     419.5     1.703  1.420E+2
     420.5     1.760  1.438E+2
     421.5     1.799  1.456E+2
     422.5     1.584  1.471E+2
     423.5     1.713  1.488E+2
     424.5     1.770  1.506E+2
     425.5     1.697  1.523E+2
     426.5     1.700  1.540E+2
     427.5     1.571  1.556E+2
     428.5     1.589  1.572E+2
     429.5     1.477  1.587E+2
     430.5     1.136  1.598E+2
     431.5     1.688  1.615E+2
     432.5     1.648  1.631E+2
     433.5     1.733  1.649E+2
     434.5     1.672  1.665E+2
     435.5     1.725  1.683E+2
     436.5     1.931  1.702E+2
     437.5     1.808  1.720E+2
     438.5     1.569  1.736E+2
     439.5     1.827  1.754E+2
     440.5     1.715  1.771E+2
     441.5     1.933  1.790E+2
     442.5     1.982  1.810E+2
     443.5     1.911  1.829E+2
     444.5     1.975  1.849E+2
     445.5     1.823  1.867E+2
